class,reg,no_account,account,root_type,account_type,is_group
1,1,1,COMPTES DE FINANCEMENT PERMANENT,Equity,,1
1,2,11,CAPITAUX PROPRES,,,1
1,3,111,Capital social ou personnel,,,1
1,4,1111,Capital social,,,0
1,4,1112,Fonds de dotation,,,0
1,4,1117,Capital personnel,,,1
1,5,11171,Capital individuel,,,0
1,5,11175,Compte de l'exploitant,,,0
1,4,1119,"Actionnaires, capital souscrit-non appele",,,0
1,3,112,"Primes d'emission, de fusion et d'apport",,,1
1,4,1121,Primes d'emission,,,0
1,4,1122,Primes de fusion,,,0
1,4,1123,Primes d'apport,,,0
1,3,113,Ecarts de reevaluation,,,1
1,4,1130,Ecarts de reevaluation,,,0
1,3,114,Reserve legale,,,1
1,4,1140,Reserve legale,,,0
1,3,115,Autres reserves,,,1
1,4,1151,Reserves statutaires ou contractuelles,,,0
1,4,1152,Reserves facultatives,,,0
1,4,1155,Reserves reglementees,,,0
1,3,116,Report a nouveau,,,1
1,4,1161,Report a nouveau (solde crediteur),,,0
1,4,1169,Report a nouveau (solde debiteur),,,0
1,3,118,Resultats nets en instance d'affectation,,,1
1,4,1181,Resultats nets en instance d'affectation (solde crediteur),,,0
1,4,1189,Resultats nets en instance d'affectation (solde debiteur),,,0
1,3,119,Resultat net de l'exercice,,,1
1,4,1191,Resultat net de l'exercice (solde crediteur),,,0
1,4,1199,Resultat net de l'exercice (solde debiteur),,,0
1,2,13,CAPITAUX PROPRES ASSIMILES,,,1
1,3,131,Subventions d'investissement,,,1
1,4,1311,Subventions d'investissement recues,,,0
1,4,1319,Subventions d'investissement inscrites au CPC,,,0
1,3,135,Provisions reglementees,,,1
1,4,1351,Provisions pour amortissements derogatoires,,,0
1,4,1352,Provisions pour plus-values en instance d'imposition,,,0
1,4,1354,Provisions pour investissements,,,0
1,4,1355,Provisions pour reconstitution des gisements,,,0
1,4,1356,Provisions pour acquisition et construction de logements,,,0
1,4,1358,Autres provisions reglementees,,,0
1,2,14,DETTES DE FINANCEMENT,,,1
1,3,141,Emprunts obligataires,,,1
1,4,1410,Emprunts obligataires,,,0
1,3,148,Autres dettes de financement,,,1
1,4,1481,Emprunts aupres des etablissements de credit,,,0
1,4,1482,Avances de l'Etat,,,0
1,4,1483,Dettes rattachees a des participations,,,0
1,4,1484,Billets de fonds,,,0
1,4,1485,Avances recues et comptes courants bloques,,,0
1,4,1486,Fournisseurs d'immobilisation,,,0
1,4,1487,Depots et cautionnements recues,,,0
1,4,1488,Dettes de financement diverses,,,0
1,2,15,provisions durables pour risques et charges,,,1
1,3,151,Provisions pour risques,,,1
1,4,1511,Provisions pour litiges,,,0
1,4,1512,Provisions pour garanties donnees aux clients,,,0
1,4,1513,Provisions pour propre assureur,,,0
1,4,1514,Provision pour pertes sur marches a terme,,,0
1,4,1515,"Provisions pour amendes, double droits, penalites",,,0
1,4,1516,Provisions pour pertes de change,,,0
1,4,1518,Autres provisions pour risques,,,0
1,3,155,Provisions pour charges,,,1
1,4,1551,Provisions pour impots,,,0
1,4,1552,Provisions pour pensions de retraite et obligations similaires,,,0
1,4,1555,Provisions pour charges a repartir sur plusieurs exercices,,,0
1,4,1558,Autres provisions pour charges,,,0
1,2,16,COMPTES DE LIAISON DES ETABLISSEMENTS ET SUCCURSALES,,,1
1,3,160,Comptes de liaison des etablissements et succursales,,,1
1,4,1601,Comptes de liaison du siege,,,0
1,4,1605,Comptes de liaison des etablissements,,,0
1,2,17,Ecarts de conversion - Passif,,,1
1,3,171,Augmentation des creances immobilisees,,,1
1,4,1710,Augmentation des creances immobilisees,,,0
1,3,172,Diminution des dettes de financement,,,1
1,4,1720,Diminution des dettes de financement,,,0
2,1,2,COMPTES D'ACTIF IMMOBILISE,Asset,,1
2,2,21,IMMOBILISATIONS EN NON-VALEURS,,,1
2,3,211,Frais preliminaires,,,1
2,4,2111,Frais de constitution,,,0
2,4,2112,Frais prealables au demarrage,,,0
2,4,2113,Frais d'augmentation du capital,,,0
2,4,2114,"Frais sur operations de fusions, scissions et transformations",,,0
2,4,2116,Frais de prospection,,,0
2,4,2117,Frais de publicite,,,0
2,4,2118,Autres frais preliminaires,,,0
2,3,212,Charges a repartir sur plusieurs exercices,,,1
2,4,2121,Frais d'acquisitition des immobilisations,,,0
2,4,2125,Frais d'emission des emprunts,,,0
2,4,2128,Autres charges a repartir,,,0
2,3,213,Primes de remboursement des obligations,,,1
2,4,2130,Primes de remboursement des obligations,,,0
2,2,22,IMMOBILISATIONS INCORPORELLES,,,1
2,3,221,Immobilisation en recherche et developpement,,,1
2,4,2210,Immobilisation en recherche et developpement,,,0
2,3,222,"Brevets, marques, droits et valeurs similaires",,,1
2,4,2220,"Brevets, marques, droits et valeurs similaires",,,0
2,3,223,Fonds commercial,,,1
2,4,2230,Fonds commercial,,,0
2,3,228,Autres immobilisations incorporelles,,,1
2,4,2285,Autres immobilisations incorporelles,,,0
2,2,23,IMMOBILISATIONS CORPORELLES,,Fixed Asset,1
2,3,231,Terrains,,Fixed Asset,1
2,4,2311,Terrains nus,,Fixed Asset,0
2,4,2312,Terrains amenages,,Fixed Asset,0
2,4,2313,Terrains bâtis,,Fixed Asset,0
2,4,2314,Terrains de gisement,,Fixed Asset,0
2,4,2316,Agencements et amenagements de terrains,,Fixed Asset,0
2,4,2318,Autres terrains,,Fixed Asset,0
2,3,232,Constructions,,Fixed Asset,1
2,4,2321,Bâtiments,,Fixed Asset,1
2,5,23211,"Bâtiments industriels (A,B,,,)",,Fixed Asset,0
2,5,23214,"Bâtiments administratifs et commerciaux (A,B,,,)",,Fixed Asset,0
2,5,23218,Autres bâtiments,,Fixed Asset,0
2,4,2323,Constructions sur terrains d'autrui,,Fixed Asset,0
2,4,2325,Ouvrages d'infrastructure,,Fixed Asset,0
2,4,2327,Agencements et amenagements des constructions,,Fixed Asset,0
2,4,2328,Autres constructions,,Fixed Asset,0
2,3,233,"Installations techniques, materiel et outillage",,Fixed Asset,1
2,4,2331,Installations techniques,,Fixed Asset,0
2,4,2332,Materiel et outillage,,Fixed Asset,1
2,5,23321,Materiel,,Fixed Asset,0
2,5,23324,Outillage,,Fixed Asset,0
2,4,2333,Emballages recuperables identifiables,,Fixed Asset,0
2,4,2338,"Autres installations techniques, materiel et outillage",,Fixed Asset,0
2,3,234,Materiel de transport,,Fixed Asset,1
2,4,2340,Materiel de transport,,Fixed Asset,0
2,3,235,"Mobilier, materiel de bureau et amenagements divers",,Fixed Asset,1
2,4,2351,Mobilier de bureau,,Fixed Asset,0
2,4,2352,Materiel de bureau,,Fixed Asset,0
2,4,2355,Materiel informatique,,Fixed Asset,0
2,4,2356,"Agencements, installations et amenagements divers (biens n'appartenant pas a l'entreprise)",,Fixed Asset,0
2,4,2358,"Autres mobilier, materiel de bureau et amenagements divers",,Fixed Asset,0
2,3,238,Autres immobilisations corporelles,,Fixed Asset,1
2,4,2380,Autres immobilisations corporelles,,Fixed Asset,0
